"ProcessName","Path","Id"
"ApplicationFrameHost","C:\Windows\system32\ApplicationFrameHost.exe","5016"
"atkexComSvc",,"3928"
"BtwRSupportService",,"4068"
"csrss",,"676"
"csrss",,"772"
"csrss",,"9404"
"ctfmon",,"6820"
"dllhost","C:\Windows\system32\DllHost.exe","9532"
"DTSU2PAuSrv64",,"3980"
"dwm",,"1256"
"dwm",,"7104"
"explorer","C:\Windows\Explorer.EXE","9972"
"fontdrvhost",,"8"
"fontdrvhost",,"756"
"fontdrvhost",,"8872"
"Idle",,"0"
"kass","C:\Windows\kass.exe","6204"
"keyacc32",,"3972"
"LogonUI",,"1228"
"lsass",,"916"
"Memory Compression",,"2296"
"MsMpEng",,"7820"
"NisSrv",,"9656"
"NVDisplay.Container",,"1180"
"NVDisplay.Container",,"7960"
"powershell_ise","C:\Windows\System32\WindowsPowerShell\v1.0\powershell_ise.exe","8780"
"RAVBg64","C:\Program Files\Realtek\Audio\HDA\RAVBg64.exe","236"
"rdpclip","C:\Windows\System32\rdpclip.exe","2184"
"Registry",,"144"
"RtkNGUI64","C:\Program Files\Realtek\Audio\HDA\RtkNGUI64.exe","4392"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","1476"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","6268"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","8824"
"SearchFilterHost",,"6264"
"SearchIndexer",,"5764"
"SearchProtocolHost",,"4404"
"SearchUI","C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe","8952"
"SecurityHealthService",,"6320"
"SecurityHealthSystray","C:\Windows\System32\SecurityHealthSystray.exe","7100"
"services",,"908"
"SgrmBroker",,"1860"
"ShellExperienceHost","C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","9896"
"sihost","C:\Windows\system32\sihost.exe","8860"
"smartscreen","C:\Windows\System32\smartscreen.exe","7956"
"smss",,"492"
"spoolsv",,"3532"
"sshd",,"4008"
"svchost",,"108"
"svchost",,"256"
"svchost","C:\Windows\system32\svchost.exe","460"
"svchost",,"552"
"svchost",,"1000"
"svchost",,"1112"
"svchost",,"1156"
"svchost",,"1328"
"svchost",,"1360"
"svchost",,"1368"
"svchost",,"1376"
"svchost",,"1384"
"svchost",,"1392"
"svchost",,"1500"
"svchost",,"1592"
"svchost",,"1600"
"svchost",,"1640"
"svchost","C:\Windows\system32\svchost.exe","1752"
"svchost",,"1828"
"svchost",,"1864"
"svchost",,"1896"
"svchost",,"1920"
"svchost",,"2028"
"svchost",,"2076"
"svchost",,"2084"
"svchost",,"2092"
"svchost",,"2104"
"svchost",,"2112"
"svchost",,"2120"
"svchost",,"2212"
"svchost",,"2224"
"svchost",,"2336"
"svchost",,"2360"
"svchost",,"2404"
"svchost",,"2424"
"svchost",,"2448"
"svchost",,"2460"
"svchost",,"2668"
"svchost",,"2700"
"svchost",,"2848"
"svchost",,"2968"
"svchost",,"3096"
"svchost",,"3148"
"svchost",,"3180"
"svchost",,"3300"
"svchost",,"3308"
"svchost","C:\Windows\system32\svchost.exe","3328"
"svchost",,"3376"
"svchost",,"3572"
"svchost",,"3780"
"svchost",,"3788"
"svchost",,"3796"
"svchost",,"3804"
"svchost",,"3812"
"svchost",,"3820"
"svchost",,"3824"
"svchost",,"3836"
"svchost",,"4168"
"svchost",,"4284"
"svchost",,"4304"
"svchost",,"4324"
"svchost",,"4424"
"svchost",,"4716"
"svchost",,"4952"
"svchost",,"5600"
"svchost",,"5852"
"svchost",,"6484"
"svchost",,"6760"
"svchost",,"7224"
"svchost",,"7564"
"svchost",,"7752"
"svchost",,"8332"
"svchost","C:\Windows\system32\svchost.exe","8992"
"svchost",,"9144"
"System",,"4"
"taskhostw","C:\Windows\system32\taskhostw.exe","5828"
"vmnat",,"4000"
"vmnetdhcp",,"3992"
"vmware-authd",,"3920"
"vmware-hostd",,"5992"
"vmware-tray","C:\Program Files (x86)\VMware\VMware Workstation\vmware-tray.exe","6336"
"vmware-usbarbitrator64",,"4060"
"WindowsInternal.ComposableShell.Experiences.TextInput.InputApp","C:\Windows\SystemApps\InputApp_cw5n1h2txyewy\WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe","8360"
"wininit",,"764"
"winlogon",,"864"
"winlogon",,"9600"
"WUDFHost",,"652"
